,id_in_matched,ra,dec,StetsonK,Eta_e,Std,Skew,SmallKurtosis,Con,Meanvariance
20499,25843.0,14.9205808,-25.5052363,0.825223984709,3.86675314756,0.115354150241,-0.309798262262,-0.0740778899237,0.0,0.00693433475472
20500,25844.0,14.8453633,-25.2792085,0.775029884202,3.58152220209,0.105371628426,0.560579056509,0.58958132441,0.0,0.00653778496129
20501,25850.0,14.6437194,-25.2736109,0.867180408944,2.8151822972,0.169721249079,0.428433250517,1.01479073283,0.0,0.00997293380966
20502,25857.0,15.8070726,-25.8907176,0.843633821334,2.07939059986,0.10278224151,-0.228075403767,-0.361947477642,0.0,0.00622650212462
20503,25858.0,15.8226994,-25.8177846,0.83418023271,2.89910040702,0.138567316691,0.939463961678,1.42178242946,0.0,0.00830867579681
20504,25859.0,15.592794,-25.7682407,0.839303046225,3.00918337896,0.101759262112,-0.429462714309,-0.311969504477,0.0,0.00609404309005
20505,25860.0,15.8253981,-25.6048142,0.84842127128,4.19132004635,0.11869559427,0.162459982551,-1.01946203253,0.0,0.00704909942972
20506,25861.0,15.7345683,-25.6574194,0.872846197431,3.29408135372,0.0678185431841,0.993670759968,0.476875269897,0.0,0.00405877195028
20507,25862.0,15.6680599,-25.7118732,0.784666333697,2.34804989564,0.123456427508,0.585899556423,1.15610144806,0.0,0.00724113777958
20508,25863.0,15.5982626,-25.6252971,0.849347872479,3.54035737676,0.16682037134,1.18705665435,3.008759404,0.0,0.00979749583403
20509,25864.0,14.2985073,-25.1161121,0.8048805917,3.89724736549,0.105078382129,0.254052865778,0.413304041948,0.0,0.00629725383286
20510,25865.0,14.3125215,-25.0196257,0.885451421819,3.55594624398,0.166384050679,0.293590051857,-0.108936607375,0.0,0.00997497485761
20511,25866.0,14.4101847,-25.0426551,0.901109161168,2.37036523984,0.111023084023,0.276348092092,-1.16104535061,0.0,0.00666065468028
20512,25867.0,14.2286144,-25.2690443,0.843488799682,2.53375209155,0.163508292671,0.226859819312,-0.945562132993,0.0,0.0096810629242
20513,25869.0,15.037168,-25.4742674,0.907272277566,2.65987602339,0.154775910452,0.0733658246326,-1.0666418584,0.0,0.00921350822356
20514,25870.0,14.8282425,-25.493033,0.78134942875,3.59481055618,0.129263012318,0.0521631925107,0.601139645049,0.0,0.00753002668304
20515,25871.0,14.9581231,-25.5420688,0.81131803753,1.57713694106,0.185419734508,-0.0891225056019,-0.245325759039,0.0,0.0106786098867
20516,25872.0,15.007278,-25.363291,0.874859727349,4.65998633191,0.147609299251,-0.171972563589,-0.20339291858,0.0,0.00863393687398
20517,25873.0,14.9244867,-25.3824196,0.789199792639,3.81474035612,0.17592631373,-0.649957796945,1.00681619538,0.0,0.0101172382184
20518,25874.0,15.1168594,-25.4436274,0.866046210931,3.63209100129,0.198826812302,0.279713096617,-0.144312908724,0.0,0.0115470573502
20519,25875.0,14.527572,-25.7796955,0.908644697834,3.61732088993,0.175190814232,-0.456966435206,-0.804043541093,0.0,0.0101582007916
20520,25876.0,14.5956785,-25.7166531,0.816937366731,4.86263752028,0.122815741733,-0.848857849554,1.5260901844,0.0,0.00705776518931
20521,25878.0,14.4810063,-25.8368846,0.843755361206,3.48551782866,0.129419568221,-0.256450134857,-0.0726909422592,0.0,0.00743683507098
20522,25879.0,14.6679491,-25.7544182,0.844934621356,3.67734950335,0.166474065337,-0.563782712184,0.00836720589907,0.0,0.00959250577065
20523,25880.0,15.5792181,-25.7984846,0.799712314399,4.47556593053,0.16979546607,-0.5565056463,0.591983924359,0.0,0.0101058909351
20524,25882.0,15.2510195,-25.5491664,0.756172595254,4.61359215401,0.043639823629,0.895689192735,1.7411252206,0.0,0.00285578364342
20525,25885.0,15.3524576,-25.5828852,0.753000260402,3.33671631354,0.0102350915938,0.20127161357,1.35626404456,0.0,0.000855850367953
20526,25886.0,15.4968207,-25.539017,0.877754149216,4.57317676378,0.0412329770114,0.637537349961,0.17569599117,0.0,0.00268243893232
20527,25887.0,15.1962529,-25.4989675,0.792580347173,3.43188116471,0.0529367602428,-0.664598347571,1.2955215,0.0,0.00339267806692
20528,25888.0,15.2742352,-25.5835273,0.696738211306,2.73392740983,0.193068740007,2.37017806407,10.1069606306,0.0,0.0120998837513
20529,25889.0,14.4937237,-26.2088854,0.821310682425,5.78688730444,0.183951367218,-0.681762932859,1.04586609992,0.0,0.0106117306131
20530,25890.0,14.6360559,-26.1836476,0.844125256508,3.91891978273,0.18518436148,0.192269858789,-0.70136230085,0.0,0.01075818477
20531,25893.0,15.7456608,-25.4712221,0.862739683706,3.38514693839,0.162371164505,-0.29703273562,0.231222064654,0.0,0.00933166734165
20532,25895.0,15.53299,-25.3401,0.835789541218,3.44794950886,0.193818978552,0.310606982556,-0.727539994416,0.0,0.011281068006
20533,25896.0,15.5444397,-25.3044434,0.721469016544,2.48096349349,0.13206377794,0.690943773307,4.6967593541,0.0,0.00770539930525
20534,25897.0,15.580877,-25.5322806,0.891160404849,3.00604793296,0.188228608849,0.0211338325094,-0.593374401406,0.0,0.0109767279643
20535,25898.0,15.6979093,-25.4062827,0.846088003334,2.67634500767,0.149217606462,0.0855693403544,0.552488161207,0.0,0.0087357847064
20536,25900.0,15.5298146,-25.5841818,0.885658557559,6.36854290989,0.124522155452,0.0740258312962,-1.18666714468,0.0,0.00716463664312
20537,25901.0,15.5056074,-25.3685138,0.819937497924,2.6546307597,0.131709940804,0.789778267527,1.35055488521,0.0,0.0078939444411
20538,25902.0,15.5092413,-25.2919659,0.81030826167,3.95234531711,0.120243546317,-0.123127533943,0.00542318559607,0.0,0.00716394589163
20539,25903.0,15.4765528,-25.2928232,0.857401208625,3.23397699842,0.137975099139,0.215995692106,-0.578010001556,0.0,0.00824474791335
20540,25904.0,14.4926961,-25.8776241,0.75635147696,2.53890238345,0.0454101636587,-0.620418692772,0.574946204755,0.0,0.00294872527973
20541,25905.0,15.3443282,-25.3910546,0.855228503678,2.67027330819,0.126386390012,0.254878154112,0.311242456676,0.0,0.00754505451891
20542,25906.0,14.8354316,-25.5090506,0.889409557386,1.88331533788,0.172112443449,0.5852781177,0.0474922841757,0.0,0.0100778772841
20543,25907.0,14.8768887,-25.4812825,0.767485665267,3.96422115128,0.166780376922,0.771837709285,0.8485498895,0.0,0.00970363953242
20544,25908.0,14.5882261,-25.8392485,0.648709920079,3.35065281085,0.287667959961,3.47032421033,17.6751216934,0.0,0.0182739859019
20545,25909.0,15.2886999,-25.3247356,0.79807686477,3.09424794971,0.132056339636,1.26151065081,2.10867978146,0.0,0.00866650687615
20546,25910.0,15.4219345,-25.4986809,0.643741163183,2.78794402338,0.0458418300596,-0.519353163688,3.69233363244,0.0,0.00299436001271
20547,25911.0,15.4445648,-25.3601201,0.809570935476,1.82449267058,0.0574549287234,0.266639726444,-0.32027925424,0.0,0.00371785815059
20548,25912.0,14.897815,-25.9134329,0.679350631836,3.0277373816,0.12947012659,-1.14307652238,3.60704832742,0.0,0.00783425337388
20549,25913.0,15.3314843,-25.4591742,0.794955607777,4.62891301939,0.0529804334094,-0.733541797685,0.699005413952,0.0,0.00339434379746
20550,25914.0,15.7482123,-25.6986607,0.789319000646,4.98493143124,0.152251831896,-0.92360750707,2.38682259759,0.0,0.00876458284679
20551,25915.0,15.29921,-25.4149153,0.926406615775,3.57090999782,0.121678996963,0.0792474224391,-1.33191144358,0.0,0.00720320782454
20552,25916.0,15.2419859,-25.2827475,0.816603981058,3.10178434169,0.147485410565,1.22352354052,3.24473854828,0.0,0.00884122163896
20553,25920.0,15.5369798,-25.4722824,0.877700813644,2.95484236186,0.0274041625928,-0.140393848108,-0.535005430807,0.0,0.00184370775866
20554,25921.0,15.7614336,-25.4737673,0.846599448051,3.20531947673,0.0370277673395,0.0143055313575,-0.297958417106,0.0,0.00247612303335
20555,25922.0,15.6818377,-25.5845329,0.751302428393,2.1806916707,0.0543638893183,0.239860800158,1.24180835381,0.0,0.00357989560351
20556,25923.0,15.7306853,-25.3655603,0.758850185505,2.35231334993,0.097750118046,0.0412007341495,1.47958607957,0.0,0.00615287909549
20557,25924.0,15.8330826,-25.3207624,0.858179124514,4.39530633227,0.0509569161646,-0.607574425175,0.128647057742,0.0,0.00327121700554
20558,25925.0,15.6918707,-25.2783425,0.831482380028,5.49014278023,0.165988659472,0.373798753493,-0.412587226658,0.0,0.00955951873527
20559,25926.0,15.5967717,-25.4422668,0.752031553104,2.65779548509,0.0934701001819,0.331862166353,1.71763365238,0.0,0.00583864558169
20560,25927.0,15.6109645,-25.4938135,0.848443038528,7.43180283819,0.114118401198,-0.219050362286,-0.650323794747,0.0,0.00654141111232
20561,25928.0,15.6046456,-25.4657635,0.92394401435,4.84000244822,0.152435957386,-0.104832993821,-1.0075915136,0.0,0.00876435024456
20562,25929.0,15.7526744,-25.1029667,0.88727262629,4.11993495082,0.185606035895,0.425446356008,-0.710347611786,0.0,0.010876761581
20563,25932.0,14.5770243,-25.9898656,0.852355823999,3.10822225399,0.212180664748,0.554954826625,0.284960667428,0.0,0.0124807931825
20564,25933.0,15.2998958,-25.2762859,0.745150794312,6.09756484397,0.139418849239,0.112260614594,1.24477164043,0.0,0.00797179252705
20565,25934.0,14.9077938,-26.0002307,0.859494102666,2.47632117727,0.126298500672,0.15809885726,-0.0293126504929,0.0,0.00739564280548
20566,25935.0,15.0334101,-25.277957,0.891590424038,3.10715234598,0.146859935287,0.185344647028,-0.973609469557,0.0,0.00877313589977
20567,25936.0,14.9236833,-25.3979678,0.84526611618,2.77578711548,0.131663773088,0.00285447458926,-0.720849177279,0.0,0.007772257202
20568,25937.0,14.9567595,-25.3525176,0.73792047092,3.71166419637,0.1714705336,0.872023053904,2.56853170354,0.0,0.0101089546665
20569,25938.0,14.9893412,-25.5723244,0.870946435108,4.12059437446,0.187792985218,0.322792489403,-0.384023267135,0.0,0.0109388288078
20570,25939.0,14.9641106,-25.3421987,0.797991493826,3.1937715714,0.195946815787,-0.406826943548,1.15266259529,0.0,0.0114391344626
20571,25940.0,15.7785806,-25.390941,0.803850307341,3.20923190239,0.0860844402219,1.00231828076,2.00972706582,0.0,0.00522022109043
20572,25941.0,15.7132369,-25.5405482,0.79252035321,3.08851734446,0.0972940635353,-0.721118582675,0.63797413549,0.0,0.00588746411163
20573,25942.0,15.5211089,-25.4237525,0.813494301859,3.74161250756,0.156185501847,-0.125507332736,-0.21990351416,0.0,0.00935100980182
20574,25943.0,15.1362816,-25.9933754,0.764595430196,2.18844053326,0.109600239327,0.451581917551,1.05992721197,0.0,0.00665849034984
20575,25944.0,14.9151545,-25.9746591,0.812030765099,4.17492247562,0.202253350114,0.854896291322,1.75380768447,0.0,0.0119393158476
20576,25945.0,15.102296,-26.0311436,0.701136730769,3.72766403998,0.0756880588539,-0.2666558047,1.57484239852,0.0,0.00454436445359
20577,25946.0,15.6016556,-25.487599,0.809329370129,4.08217187416,0.0885854045843,0.151703403145,1.70753019303,0.0,0.00530565914023
20578,25947.0,14.8824171,-25.9708489,0.818051408911,3.23572431342,0.142982981299,0.00205273258781,0.634062633425,0.0,0.00847518689897
20579,25948.0,15.4988923,-25.5009993,0.906939614018,5.1877722264,0.146865791683,-0.0364520358442,-0.916702611875,0.0,0.00848433158658
20580,25949.0,15.2115362,-25.524677,0.829959319043,3.20882486449,0.165642511254,0.447312619093,0.275141470476,0.0,0.00962809769657
20581,25950.0,15.749153,-25.5376837,0.775656720348,2.68438131437,0.182746236712,2.2264355187,8.93440336894,0.0,0.0108252284553
20582,25951.0,14.8739987,-26.1226185,0.878620323652,2.36520642871,0.0811294361639,0.454226685095,0.116639810676,0.0,0.00501882161224
20583,25952.0,15.1236144,-25.9816604,0.840599709301,2.27665997782,0.0862761937918,-0.444882851487,0.582161274912,0.0,0.00527430281934
20584,25953.0,14.845933,-26.199084,0.774534836651,3.86535420265,0.0948255171861,0.40263957059,0.814912871966,0.0,0.00588120515751
20585,25954.0,15.0208736,-26.1791376,0.778850856752,3.19450751223,0.076869052968,0.458252223508,1.70824503943,0.0,0.00469955986481
20586,25955.0,14.9375067,-25.9785984,0.807341867662,3.18220581564,0.104682818901,-0.351887083625,0.156285096772,0.0,0.00635744529239
20587,25956.0,15.1158484,-26.1545631,0.75734917098,3.23571044634,0.110774903424,0.590400645888,1.17673052233,0.0,0.00670060983638
20588,25957.0,14.9166061,-26.0893733,0.818327384653,3.94489797598,0.155194348848,-0.0944205277428,0.173293829668,0.0,0.00917952131439
20589,25958.0,15.0047856,-26.0105877,0.840041878137,3.32758735799,0.166709108315,0.218952174897,-0.130809485839,0.0,0.0100320796823
20590,25959.0,14.9742865,-25.929856,0.778170748339,3.96080763845,0.131152492277,0.110274120148,-0.0845492635923,0.0,0.00781206119751
20591,25960.0,15.0748559,-26.1130463,0.80711929235,3.63991577554,0.121028782794,0.0181290050103,0.820876992647,0.0,0.00729121042402
